ticket_id,booking_id,show_seat_id,qr_code,delivery_method,is_downloaded,scanned_at
1,1,2753,146f268f-d744-4d18-8104-e8a364d25e83,Mobile,True,
2,1,2893,db15baa3-dcc5-496e-8889-c15f41df6778,Email,False,
3,1,2693,d54535bd-a781-48e5-8a5d-308e22d11101,Email,False,
4,1,2835,6d3ca825-d908-49a1-b798-56d799adb11d,Mobile,True,
5,1,2651,44ad10ce-9a77-4487-aba6-641487b9ba1b,Email,True,
6,2,307,c070737c-be03-4ca3-9dc3-69fe5e377063,Mobile,True,
7,2,347,edeb4618-e826-49ba-ab68-ed36fc6031eb,Mobile,True,
8,3,204,c0d72704-df1c-40a1-a552-207c5ffca997,Email,True,2025-02-26 06:22:38
9,4,522,dddcb7a2-3ff0-42b7-abcd-0c1e20cad0b8,Email,True,2025-02-27 02:38:26
10,4,485,c54e023e-333d-469c-84c6-437ab0066192,Mobile,True,2025-03-07 03:41:56
11,4,526,bf164385-56a0-47c7-ae59-af7afbbd68d2,Email,True,
12,5,320,336f846f-6445-4a10-83a7-309dd70cea55,Mobile,True,2025-02-28 14:45:53
13,5,316,e64290e3-f981-451a-a1e9-fb9e11f50c2e,Email,False,
14,5,345,7ec47ded-cf0d-47b6-904f-2833d5bc6b54,Email,False,
15,6,450,cc44955c-5d50-44f0-bfd9-8fb307323134,Mobile,True,
16,6,387,99666fe5-c598-4b28-b3e4-946908d411f3,Email,True,
17,7,591,9a7368de-20c4-43a3-93d3-8ac7bb70b557,Mobile,False,
18,7,532,ab4d42ff-2b14-44b6-ab1a-06c1a1c568b8,Email,True,
19,7,475,97d6c1ac-7766-472c-bb4d-1839a9950226,Email,False,2025-03-10 20:37:01
20,7,563,846e38de-d417-4aa1-8f9d-32cd6913489c,Mobile,False,2025-03-10 04:17:45
21,7,512,b8ffa68a-2fea-4781-8033-183c34b519aa,Mobile,True,
22,8,3295,4c606c97-3313-4fb1-8193-c7c5dd0d10f7,Mobile,False,2025-03-09 02:39:39
23,9,348,cf03e28d-7ff9-44b0-a8ec-956e4f6d4604,Mobile,True,2025-03-09 17:03:49
24,9,375,ada354dc-1d68-4b85-8dda-444e1277d6ec,Email,False,
